DT,distance(Km),heart,pace,start_lat,start_lng
2023-02-16 17:52:00,3.50,120,8:51,,
2023-02-20 17:14:16,3.30,120,7:53,,
2023-02-28 17:15:52,3.20,120,8:26,,
2023-03-02 17:14:54,3.50,120,8:51,,
2023-03-04 19:44:45,4.06,120,9:15,31.895833667367697,118.80765178240836
2023-03-07 17:16:36,3.30,120,8:29,,
2023-03-09 20:58:23,4.00,120,10:00,,
2023-03-10 20:01:39,3.23,120,11:45,32.0457826461643,118.76603504642844
2023-03-12 13:26:46,4.54,120,8:14,32.0431215595454,118.83201546035707
2023-03-13 17:16:48,3.20,120,8:08,,
2023-03-16 17:24:04,3.10,120,8:43,,
2023-03-18 19:45:01,5.39,120,9:33,31.897269152104855,118.80989234894514
2023-03-20 17:02:44,3.97,120,10:30,31.89698802307248,118.8064956665039
2023-03-21 17:56:35,3.20,120,7:49,,
2023-03-24 18:07:43,3.64,120,9:42,31.940211737528443,118.7899368815124
2023-03-25 18:58:23,4.11,120,9:23,32.08215398713946,118.8087357301265
2023-03-26 14:11:48,4.26,120,9:28,31.896053608506918,118.80815545096993
2023-03-27 17:04:48,4.30,120,11:01,31.895855208858848,118.80861436016858
2023-03-30 17:21:24,3.10,120,9:02,,
2023-04-02 13:13:38,3.44,120,11:18,31.863807002082467,118.84015554562211
2023-04-05 21:32:14,3.12,120,9:23,31.861746227368712,118.83831831626594
2023-04-08 09:24:04,3.08,120,9:25,31.862777452915907,118.83802947588265
2023-04-09 14:23:24,7.03,120,9:44,31.862048311159015,118.84072224609554
2023-04-10 06:08:59,2.69,120,8:57,31.862121736630797,118.83934711106122
2023-04-11 06:10:36,2.65,120,9:44,31.86204168945551,118.83879591710865
2023-04-14 06:13:12,3.23,120,8:50,31.8626344576478,118.83907268755138
2023-04-15 07:12:30,2.53,120,8:26,31.86189115047455,118.83874109946191
2023-04-17 06:09:37,2.96,120,8:45,31.862254,118.8391
2023-04-19 06:10:12,2.64,120,8:58,31.86265884898603,118.83929321542382
2023-04-22 08:33:26,3.74,120,8:20,31.8627346213907,118.83810357190669
2023-04-26 06:17:47,2.46,120,8:51,31.862008664757013,118.83569578640163
2023-04-28 20:55:02,2.75,120,8:06,31.8617935013026,118.83851604536176
2023-04-29 17:08:30,3.79,120,8:35,31.86169962398708,118.83861444890499
2023-05-01 20:20:11,3.24,120,8:09,31.862008329480886,118.83895869366825
2023-05-03 20:15:18,2.87,120,8:29,31.862071193754673,118.83901493623853
2023-05-05 20:51:44,2.80,120,8:32,31.862286860123277,118.83903102949262
2023-05-10 20:03:51,2.60,120,7:53,31.862755240872502,118.83856306783855
2023-05-12 21:01:47,2.61,120,8:29,31.861916044726968,118.8383427914232
2023-05-15 06:03:18,3.02,120,9:39,31.861745724454522,118.8323591183871
2023-05-16 20:53:34,2.64,120,8:33,31.861891401931643,118.83855326101184
2023-05-20 06:52:43,2.57,120,9:23,31.862465227022767,118.83825117722154
2023-05-22 21:32:14,0.92,120,9:09,31.861785454675555,118.83859433233738
2023-06-06 20:20:08,3.55,120,7:51,31.86196591705084,118.8383391033858
2023-06-10 06:23:35,2.23,120,9:43,31.861926103010774,118.83524492383003
2023-06-11 19:58:39,3.96,120,8:26,31.86234855093062,118.8389128446579
2023-06-14 21:33:51,3.61,120,9:38,31.86263009905815,118.83757207542658
2023-06-16 20:06:53,2.44,120,8:27,31.86270134523511,118.83883682079613
2023-06-20 06:11:00,2.61,120,9:48,31.86292313039303,118.83958524093032
2023-06-23 06:37:33,3.62,120,9:58,31.862489115446806,118.83834186941385
2023-06-25 20:19:13,2.44,120,9:07,31.86295062303543,118.83898266591132
2023-06-28 06:12:42,4.67,120,6:42,31.86261534690857,118.8376606721431
2023-07-01 20:03:44,0.35,120,10:49,,
2023-07-03 06:10:50,2.50,120,10:00,,
2023-07-05 06:06:35,2.97,120,9:23,31.86175435781479,118.83841822855175
2023-07-10 06:03:14,2.35,120,11:07,31.861906070262194,118.83836232125759
2023-07-12 21:04:34,0.55,120,9:21,31.862995633855462,118.83914904668927
2023-07-18 06:14:33,2.41,120,10:22,31.862440584227443,118.83692113682628
2023-07-20 06:12:48,2.43,120,9:52,31.862615766003728,118.83753787726164
2023-07-22 07:36:59,2.75,120,9:19,31.861906070262194,118.83890211582184
2023-07-30 19:41:13,3.09,120,8:41,40.06699056364596,116.33891391567886
2023-08-07 06:10:36,2.34,120,10:10,31.862674690783024,118.83785060606897
2023-08-09 06:20:15,2.48,120,10:14,31.862271605059505,118.83836508728564
2023-08-11 06:22:21,2.05,120,9:13,31.861663833260536,118.83420179598033
2023-08-13 20:28:06,3.66,120,8:22,31.86280989088118,118.83874889463186
2023-08-15 06:18:27,2.52,120,10:40,31.86282011680305,118.8383909035474
2023-08-17 17:17:00,4.10,120,8:47,,
2023-08-19 07:39:10,3.37,120,9:11,31.86184865422547,118.84021078236401
2023-08-21 06:16:43,2.76,120,9:49,31.862978199496865,118.83951785042882
